Assessed Governorate,Assessed District,District PCode,Site Name,Site Name A,Site PCode,Latitude,Longitude,Year of Displacement,Month of displacement  (2015 - 2016),Governorate of Orgin,District of Orgin,District of Orgin PCode,# Conflict IDPs HHs,# Conflict IDP Individuals,# Natural Disaster IDP HHs,# Natural Disaster IDP Individuals,Total IDP HHs,Total IDP Individuals,Avg Family Size,School Buildings,Health Facilities,Religious Buildings,Other Private Building,Other Public Building,Settlements (Grouped of Families) Urban and Rural,Isolated/dispersed settlements (detatched from a location),Rented Accomodation,Host Families Who are Relatives (no rent fee),Host Families Who are not Relatives (no rent fee),Second Home,Unknown,Main Needs,Interview Date,New Round,Source Of Info
Abyan,Rasad,1206,Al-Rebat,Al-Rebat-الرباط,1206215882,13.77317,45.27996,2015,8,Al Hudaydah,Al Mina,"1,822",19,114,0,0,19,114,6,0,0,0,0,0,0,0,5,14,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Al-Zaghror,Al-Zaghror-الزغرور,1206213402,13.68509,45.31244,2015,8,Amanat Al Asimah,Assafi'yah,"1,304",22,132,0,0,22,132,6,0,0,0,0,0,9,0,0,13,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Areimah,Areimah-اريمه,1206214942,13.72531,45.26286,2015,8,Al Hudaydah,Al Mina,"1,822",16,96,0,0,16,96,6,0,0,0,0,0,0,0,0,16,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Asfal Hamoumah,Asfal Hamoumah-اسفل حمومه,1206215542,13.77635,45.2857,2015,9,Al Hudaydah,Ad Durayhimi,"1,814",25,150,0,0,25,150,6,0,0,0,0,0,0,0,0,25,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Falsan,Falsan-فلسان,1206214792,13.74041,45.26591,2015,8,Taizz,Al Mudhaffar,"1,517",25,150,0,0,25,150,6,0,0,0,0,0,0,0,5,20,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Noaman,Noaman-نعمان,1206214872,13.72142,45.26198,2015,6,Amanat Al Asimah,As Sabain,"1,305",26,156,0,0,26,156,6,0,0,0,0,0,0,0,0,26,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Qemat Ben Mashoush,Qemat Ben Mashoush-قمة بن مشوش,1206211652,13.67546,45.22321,2015,8,Al Hudaydah,Al Hali,"1,823",19,114,0,0,19,114,6,0,0,0,0,0,0,0,0,19,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Rasd,Rasd-رصد,1206210020,13.711749666,45.301809561,2015,9,Taizz,Al Mudhaffar,"1,517",80,480,0,0,80,480,6,0,0,0,0,0,0,0,28,52,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Sha'ab Al-Arab,Sha'ab Al-Arab-شعب العرب,1206999103,,,2015,9,Taizz,Salh,"1,519",26,156,0,0,26,156,6,0,0,0,0,0,0,0,0,26,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Shab Al-Barae,Shab Al-Barae-شعب البارع,1206214182,13.76526,45.28942,2015,9,Taizz,Dimnat Khadir,"1,512",14,84,0,0,14,84,6,0,0,0,0,0,0,0,0,14,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Shabahy,Shabahy-شباحي,1206214372,13.76018,45.33319,2015,5,Lahj,Tur Al Bahah,"2,511",24,144,0,0,24,144,6,0,0,0,0,0,0,0,8,16,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Rasad,1206,Shamsan,Shamsan-شمسان,1206214572,13.6955,45.24856,2015,8,Taizz,Ash Shamayatayn,"1,514",17,102,0,0,17,102,6,0,0,0,0,0,0,0,0,17,0,0,0,Food,"Nov 10, 2016",13,IOM
Abyan,Sarar,1207, Amran Market, Amran Market-سوق عمران,1207213332,13.6546,45.28889,2015,4,Aden,Attawahi,"2,405",12,72,0,0,12,72,6,0,0,0,0,0,0,0,0,12,0,0,0,Drinking Water,"Nov 10, 2016",13,IOM
Abyan,Sarar,1207,Al-Masouh,Al-Masouh-المسوح,1207211802,13.64029,45.31796,2015,4,Abyan,Khanfir,"1,211",22,132,0,0,22,132,6,0,0,0,0,0,0,0,0,22,0,0,0,Drinking Water,"Nov 10, 2016",13,IOM
Abyan,Sarar,1207,Al-Qarn Mathabah,Al-Qarn Mathabah-القرن مذابه,1207211052,13.63376,45.3106,2015,4,Aden,Attawahi,"2,405",13,78,0,0,13,78,6,0,0,0,0,0,0,0,0,13,0,0,0,Drinking Water,"Nov 10, 2016",13,IOM
Abyan,Sarar,1207,Amsdarah,Amsdarah-امسداره,1207999489,,,2015,4,Aden,Attawahi,"2,405",16,96,0,0,16,96,6,0,0,0,0,0,0,0,0,16,0,0,0,Drinking Water,"Nov 10, 2016",13,IOM
