"Destination","Origin","M_Size","Date","DataDate","OrigFood","OrigFuel","OrigWage","DestFood","DestFuel","DestWage","NumMonths","OriginConflict","DestConflict","OriginConflict3","DestConflict3","OriginLon","OriginLat","DestLon","DestLat","dist"
"Deir Ezzor","Hassakeh",352,Jul 2016,Apr 2016,500,1580,800,625,3050,1100,6,-0.475348484997262,-0.475348484997262,-0.475348484997262,-0.458569717168805,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",723,Jul 2016,Apr 2016,375,2156.25,1625,500,1580,800,6,-0.576021091968003,-0.475348484997262,-0.374675878026522,-0.475348484997262,38.99811,35.95941,40.74627,36.50787,168422.625154601
"Daraa","Raqqa",14,Jul 2016,Apr 2016,375,2156.25,1625,300,1150,900,6,-0.576021091968003,-0.223666967570411,-0.374675878026522,-0.374675878026522,38.99811,35.95941,36.10331,32.62643,456602.810307438
"Deir Ezzor","Raqqa",188,Jul 2016,Apr 2016,375,2156.25,1625,625,3050,1100,6,-0.576021091968003,-0.475348484997262,-0.374675878026522,-0.458569717168805,38.99811,35.95941,40.13503,35.32965,124468.27487666
"Rural Damascus","Raqqa",1500,Jul 2016,Apr 2016,375,2156.25,1625,425,2500,1500,6,-0.576021091968003,0.0615720855133548,-0.374675878026522,-0.542463556311089,38.99811,35.95941,36.95411,33.51673,329981.077620599
"Al_Qunaytirah","Damascus",8,Jul 2016,Apr 2016,331.25,1120,1500,312.5,1150,1200,6,-0.0223217536289292,-0.274003271055781,0.648828959509342,-0.525684788482633,36.27653,33.51381,35.8258,33.1263,60155.5763510652
"Rural Damascus","Damascus",105,Jul 2016,Apr 2016,331.25,1120,1500,425,2500,1500,6,-0.0223217536289292,0.0615720855133548,0.648828959509342,-0.542463556311089,36.27653,33.51381,36.95411,33.51673,62887.8543452922
"Hassakeh","Deir Ezzor",3,Jul 2016,Apr 2016,625,3050,1100,500,1580,800,6,-0.475348484997262,-0.475348484997262,-0.458569717168805,-0.475348484997262,40.13503,35.32965,40.74627,36.50787,142263.377621835
"Rural Damascus","Deir Ezzor",47,Jul 2016,Apr 2016,625,3050,1100,425,2500,1500,6,-0.475348484997262,0.0615720855133548,-0.458569717168805,-0.542463556311089,40.13503,35.32965,36.95411,33.51673,354994.722148592
"Daraa","Rural Damascus",15,Jul 2016,Apr 2016,425,2500,1500,300,1150,900,6,0.0615720855133548,-0.223666967570411,-0.542463556311089,-0.374675878026522,36.95411,33.51673,36.10331,32.62643,126968.754404616
"Al_Qunaytirah","Rural Damascus",4,Jul 2016,Apr 2016,425,2500,1500,312.5,1150,1200,6,0.0615720855133548,-0.274003271055781,-0.542463556311089,-0.525684788482633,36.95411,33.51673,35.8258,33.1263,113596.243846204
"Deir Ezzor","Hassakeh",142,Aug 2016,May 2016,625,2280,900,800,4050,1150,7,-0.0223217536289292,-0.290782038884238,-0.458569717168805,-0.374675878026522,40.74627,36.50787,40.13503,35.32965,142263.377621835
"Hassakeh","Raqqa",87,Aug 2016,May 2016,525,2175,1750,625,2280,900,7,-0.492127252825719,-0.0223217536289292,-0.290782038884238,-0.458569717168805,38.99811,35.95941,40.74627,36.50787,168422.625154601
